Seccion,Color,Temas relevantes,Mensaje Emocional,Mujeres,Hombres,Impactos Recomendados diarios,Forecast
1288,Rojo,Recuperación Economica/Violencia Policia/Feminicidios/Programas Sociales Irrevocables,Liderazgo/Certeza/Compromiso Control Fuerzas Policiacas,20 - 36 años/4 - 7 pm/FB/Medios Locales Periódicos Digitales WA ,20 - 56/12 - 3 pm/FB/Medios Locales/TW Periódicos Digitales,3 veces al dia.,75 personas
1289,Amarillo,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Asertividad
Certeza/Compromiso",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1281,Rojo,Recuperación Economica/Certeza Laboral Emprendedores,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1305,Amarillo,"Trabajo Local/Salud COVID
Impuestos Programas Sociales","Asertividad
Certeza/Compromiso Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1284,Amarillo,Feminicidos/Violencia/Programas Sociales Irrevocables,Autonimía/Lealtad/Ecuanimidad Empatia,20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1290,Amarillo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Asertividad
Certeza/Compromiso Empatia",20 - 40 años/4 - 7 pm/WA/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1293,Amarillo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1244,Rojo,Recuperación Economica/Certeza Laboral Emprendedores,"Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1226,Amarillo,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1396,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1280,Rojo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1335,Amarillo,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Asertividad
Certeza/Compromiso Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1297,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1286,Azul,Recuperación Economica/Certeza Laboral Emprendedores,"Asertividad
Certeza/Compromiso Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1304,Rojo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1282,Amarillo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1268,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1238,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1237,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1303,Azul,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1251,Rojo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1256,Amarillo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1292,Azul,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1370,Rojo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1211,Amarillo,Recuperación Economica/Certeza Laboral Emprendedores,"Asertividad
Certeza/Compromiso Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1255,Azul,Trabajo Local/Salud COVID/Impuestos Seguridad vs Violencia,Autonomía/Lealtad/Ecuanimidad Empatia,20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1241,Azul,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Asertividad
Certeza/Compromiso Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1217,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1296,Rojo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1235,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1243,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1231,Azul,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1371,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1394,Rojo,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1279,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1301,Amarillo,Recuperación Economica/Certeza Laboral Emprendedores,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1239,Azul,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Asertividad
Certeza/Compromiso Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1236,Rojo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1295,Amarillo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/WA/FB/,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1246,Azul,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/WA/FB/,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1299,Azul,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1252,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1302,Rojo,Recuperación Economica/Certeza Laboral Emprendedores,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1234,Amarillo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1225,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1308,Azul,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1265,Amarillo,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1291,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1372,Rojo,Recuperación Economica/Certeza Laboral Emprendedores,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1245,Azul,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1298,Amarillo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1262,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1307,Rojo,Recuperación Económica pequeños empresarios/Seguridad Salud,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1306,Azul,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1249,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1300,Azul,Recuperación Economica/Certeza Laboral Emprendedores,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/WA/FB/,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1285,Rojo,"Recuperación Economica/Violencia Policia
Feminicidios Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
1263,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,125 personas
1240,Azul,Recuperación Economica/Certeza Laboral Emprendedores,"Autonomía
Lealtad/Ecuanimidad Empatia",30 - 45 años/4 - 7 pm/FB/Medios Locales,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1334,Azul,Recuperación Económica pequeños empresarios/Seguridad Salud,"Liderazgo
Certeza/Compromiso Control Fuerzas Policiacas",20 - 36 años/4 - 7 pm/WA/FB/,20 - 40/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,80 personas
1269,Azul,"Trabajo Local/Salud COVID
Impuestos Seguridad vs Violencia","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 30/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,75 personas
1229,Amarillo,"Feminicidos/Violencia 
Programas Sociales Irrevocables","Autonomía
Lealtad/Ecuanimidad Empatia",20 - 30 años/4 - 7 pm/FB/Medios Locales,20 - 42/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,50 personas
1216,Azul,Recuperación Economica/Certeza Laboral Emprendedores,"Autonomía
Lealtad/Ecuanimidad Empatia",20 - 36 años/4 - 7 pm/WA/FB/,20 - 56/12 - 3 pm/FB/Medios Locales/TW,3 veces al dia.,60 personas
